ms_ezor,x_0,x_1001,x_1002,x_1003,x_1004,x_1005,x_1006,x_1007,x_1008,x_1009,x_1010,x_1011,
1,0.134444478,0.269728973,0.011188782,0.024411284,0.015079344,0.029011541,0.168327781,0,0.226871079,0.111580985,0.003770358,0.005585394,1
2,0.016727531,0.270556143,0.023233922,0.023671943,0,0.09886888,0.160511661,0.129680768,0.240918957,0.006812354,0.020571011,0.008446831,1
3,0.021369281,0.301524393,0.026794738,0.038487788,0,0.122478453,0.112517022,0,0.234151508,0.004428373,0.1322199,0.006028543,1
4,0.311674306,0.242828618,0.032265842,0.047494362,0.00028524,0.03684708,0.132755889,0,0.170181949,0.008140068,0.01603004,0.001496607,1
5,0.080994199,0.262214652,0.012681672,0.002724119,0,0.036454247,0.347085758,0,0.221122819,0.009778805,0.024120101,0.002823627,1
6,0.017198657,0.407885114,0.029520025,0.04307307,0,0.012733543,0.138528747,0,0.312529214,0.020409655,0.010923336,0.007198639,1
7,0.006585693,0.24548828,0.017726174,0.039674669,0.000362383,0.006069189,0.208807456,0,0.365940135,0.020400495,0.014076809,0.074868716,1
8,0.601190624,0.124192619,0.008060023,0.018875628,0,0.034393519,0.053117076,0,0.12065784,0.009953285,0.02690141,0.002657976,1
9,0.01474967,0.330989996,0.032022683,0.029422429,0,0.088899324,0.136812621,0,0.313772151,0.009222604,0.033354628,0.010753893,1
10,0.134409953,0.269572882,0.014506675,0.065152416,0,0.12904191,0.127929025,0,0.226523179,0.010574471,0.021366342,0.000923148,1
11,0.016607331,0.122942473,0.014826552,0.068542186,0,0.120872987,0.324807434,0.011529498,0.177106809,0.004689791,0.135396012,0.002678926,1
12,0.238785255,0.194160555,0.009902008,0.034993287,0.000229275,0.112209854,0.153326515,0,0.227088744,0.001992517,0.01855588,0.008756109,1
13,0.070172303,0.268540396,0.052913007,0.016861952,0.057122638,0.047740905,0.160759381,0,0.305998775,0.009456115,0.000350717,0.010083811,1
14,0.045606734,0.265815193,0.035294219,0.140871715,0.002355054,0.03427161,0.143602331,0,0.309846297,0.003049259,0.005936974,0.013350614,1
15,0.04703368,0.296079023,0.019452804,0.028630949,0.020593418,0.105245298,0.18926204,0,0.281337284,0.005781164,0.001261358,0.005322982,1
16,0.025553299,0.345858333,0.026931796,0.015009866,0,0.055155467,0.098482616,0.038866788,0.350404026,0.003930299,0.011881161,0.027926349,1
17,0.012852605,0.289056294,0.010827396,0.04581469,0,0.19706138,0.11095615,0,0.310760525,0.005840755,0.013868756,0.002961448,1
18,0.020754927,0.392267436,0.02839773,0.014725557,0,0.051479166,0.164806366,0,0.312455482,0.008171986,0,0.00694135,1
19,0.119179079,0.277579995,0.028566547,0.032193145,0.0006264,0.093036116,0.155743571,0,0.187027426,0.066416245,0.030124521,0.009506954,1
20,0.097100343,0.130310432,0.009317974,0.050681183,0,0.093893871,0.083749072,0.202033454,0.293805363,0.028279938,0.00872966,0.002098711,1
21,0.06402776,0.338782855,0.015474744,0.068917049,0,0.028854094,0.221420866,0,0.208662541,0.023123135,0.027028742,0.003708213,1
22,0.028398193,0.349440403,0.032179851,0.061746497,0.00779466,0.053720328,0.098005097,0,0.305859936,0.052587435,0.005447115,0.004820486,1
23,0.06728487,0.272865091,0.04019783,0.034334409,0.000570522,0.042901088,0.217911645,0,0.278216922,0.004426004,0.038806506,0.002485112,1
24,0.158751958,0.330766361,0.030054657,0.017060587,0,0.054454147,0.10153052,0,0.270182379,0.008791214,0.019823975,0.008584201,1
25,0.250106689,0.201433924,0.024942346,0.060871764,0.009382472,0.035801581,0.220345197,0,0.179745014,0.007895956,0.003770463,0.005704594,1
26,0.103080777,0.450599384,0.042855979,0.049064649,0.027426693,0.082294762,0.026834314,0,0.179888432,0.015313098,0.017500419,0.005141494,1
27,0.049558166,0.260060696,0.010043183,0.01812706,0,0.06024962,0.430999046,0,0.122649197,0.002933824,0.043049997,0.002329213,1
28,0.031439662,0.337630446,0.017739162,0.020303615,0.000411843,0.087659344,0.158093953,0,0.284510527,0.000845599,0.059630484,0.001735366,1
29,0.134321818,0.298534918,0.015014283,0.023333275,0,0.054907561,0.128726963,0,0.246381758,0.014019233,0.070963197,0.013796994,1
30,0.117627371,0.284695972,0.037568031,0.019102243,0,0.014349278,0.255130433,0,0.159246325,0.016719313,0.08041919,0.015141844,1
31,0.048867198,0.337453043,0.051903671,0.04958546,0,0.03995602,0.06598718,0,0.352846685,0.04373934,0.002991148,0.006670256,1
32,0.099294495,0.178802992,0.017947699,0.029523068,0,0.179798953,0.206554058,0,0.256301662,0.011006513,0.0034549,0.017315659,1
33,0.002776916,0.435739171,0.012112828,0.064148719,0.001002372,0.096478014,0.141502706,0,0.200879397,0.033220367,0.012139511,0,1
34,0.195888772,0.191405943,0.015101009,0.042573851,0,0.017293717,0.260172758,0.006736859,0.191154729,0.004185038,0.065054344,0.01043298,1
35,0.171453861,0.284971103,0.01800673,0.008103024,0,0.093090944,0.158000322,0,0.2099282,0.012380254,0.031348481,0.012717082,1
36,0.042554288,0.293237811,0.133429996,0.075046325,0,0.016077124,0.241500624,0,0.15799555,0.008603795,0.031554488,0,1
37,0.06162243,0.227730717,0.029036196,0.07398857,0.001044371,0.072178302,0.189468566,0,0.220791204,0.078216157,0.023921204,0.022002284,1
38,0.106629429,0.256138965,0.027313987,0.008527969,0,0.121407335,0.220346334,0,0.22596293,0.024784014,0.005586523,0.003302513,1
39,0.054582496,0.400880697,0.025281276,0.073802736,0,0.053361649,0.069999911,0,0.284304559,0.020329615,0.00535019,0.01210687,1
40,0.027461484,0.33834049,0.019124883,0.087561532,0.004347672,0.008857587,0.148223633,0,0.344072916,0.007502314,0.012797803,0.001709685,1
41,0.044747997,0.319775385,0.016123515,0.014632062,0.052769839,0.109021113,0.230685427,0,0.189548927,0.007866284,0.006633878,0.008195573,1
42,0.011753507,0.330226523,0.050497473,0.046871042,0.001194888,0.086877083,0.106079192,0,0.267982405,0.002147797,0.06713028,0.02923981,1
43,0.058038211,0.387052353,0.036551778,0.019445014,0,0.08271023,0.035616509,0,0.317947798,0.020645868,0.019575491,0.022416747,1
44,0.061008697,0.32904604,0.025215157,0.032763882,0.008020541,0.058236667,0.267510118,0,0.138517571,0.030046751,0,0.049634576,1
45,0.439296254,0.198745477,0.021087312,0.089968068,0,0.015711868,0.032992167,0,0.128856045,0.041160746,0.014859213,0.01732285,1
46,0.035949393,0.178032686,0.010956853,0.051969169,0.009019568,0.03389366,0.419291787,0,0.252419888,0.001195717,0.003971802,0.003299477,1
47,0.140557874,0.192470026,0.0289617,0.010757129,0,0.0912855,0.217120219,0,0.295179013,0.009793764,0.008828684,0.005046091,1
48,0.014586137,0.251555048,0.012660197,0.020893151,0.000988793,0.065736579,0.181372014,0.009013155,0.39951917,0.01422956,0.019792023,0.009654174,1
49,0.045083899,0.174853174,0.012146607,0.020125171,0,0.029994378,0.424780894,0,0.129360696,0.108026071,0.041904895,0.013724215,1
50,0.622007947,0.133297515,0.006967599,0.014413987,0.000301472,0.01074388,0.033842126,0.104058324,0.059175189,0.012878069,0.001182022,0.00113187,1
51,0.0327429,0.367170974,0.023658074,0.01536837,0,0.099103193,0.125818494,0,0.253996658,0.046025882,0.032980577,0.003134879,1
52,0.065628639,0.441163663,0.027224385,0.042812118,0,0.013195663,0.117246003,0,0.282259595,0.008580326,0.001889608,0,1
53,0.043817242,0.250224675,0.02345134,0.030022777,0,0.093312181,0.253675027,0,0.240565225,0.003336839,0.00306817,0.058526523,1
54,0.013676846,0.293575878,0.009794774,0.04144046,0,0.033648948,0.267504103,0,0.281616114,0.002044509,0.020961785,0.035736583,1
55,0.055248614,0.218749945,0.014743459,0.002501275,0.020492875,0.03909042,0.267348724,0,0.354878979,0.006042518,0.015046785,0.005856408,1
56,0.018487549,0.2516343,0.019591345,0.027621912,0,0.097141792,0.33062481,0,0.223503214,0.003941467,0.01208974,0.01536387,1
57,0.095087467,0.28654986,0.006095194,0.045884122,0.000477159,0.076761518,0.242350893,0,0.22215216,0.020190503,0.000635653,0.00381547,1
58,0.51401347,0.124233343,0.021578369,0.012177615,0,0.057472411,0.026585672,0.042042353,0.19212108,0.002917119,0.005440729,0.00141784,1
59,0.100655378,0.275705643,0.019157272,0.054830704,0,0.070991725,0.0645476,0,0.371776707,0.020433993,0.007388464,0.014512513,1
60,0.1534577,0.2559425,0.02516082,0.014741381,0.008631142,0.073634459,0.108661587,0,0.273344144,0.008292283,0.077227612,0.000906371,1
61,0.069388746,0.19305194,0.021031208,0.15307623,0.005212711,0.07203806,0.197007818,0,0.281447008,0.005554821,0.001049357,0.0011421,1
62,0.047906298,0.304411516,0.023854788,0.009026077,0,0.140504101,0.082198362,0,0.374172292,0.005004102,0.008293957,0.004628506,1
63,0.040697014,0.279224553,0.020154832,0.097218018,0.00430352,0.031065447,0.189516251,0,0.211609665,0.010693812,0.074686971,0.040829919,1
64,0.036652756,0.244152439,0.023642484,0.048041191,0.008045368,0.060943204,0.148124099,0.093987654,0.263918392,0.015104308,0.051184506,0.006203598,1
65,0.161663049,0.110001321,0.012504253,0.032576592,0,0.018910939,0.534822012,0,0.119343131,0.005840527,0.00140485,0.002933326,1
66,0.204746652,0.245001714,0.010762493,0.014997706,0,0.111754103,0.198172148,0,0.192484632,0.013356477,0.001502637,0.007221438,1
67,0.033611637,0.299828388,0.050579633,0.012936062,0.000522493,0.158331395,0.124754573,0,0.263844411,0.039647063,0.009153807,0.006790538,1
68,0.035733652,0.271725845,0.051836132,0.084533539,0,0.087259685,0.178284511,0,0.266872752,0.022150396,8.22E-05,0.001521245,1
69,0.148571384,0.224879529,0.009915261,0.048635116,0.022606831,0.024418659,0.364651504,0.001759706,0.142081179,0.012331119,0.000149711,0,1
70,0.099001225,0.273528148,0.018926489,0.022325858,0,0.065266319,0.177961448,0,0.211923252,0.044768423,0.073516713,0.012782125,1
71,0.249127166,0.218340718,0.031672205,0.043139118,0.01198362,0.021651234,0.030835797,0,0.261120231,0.011526886,0.116438138,0.004164887,1
72,0.074821747,0.285474578,0.064887522,0.021554844,0,0.045652808,0.333359188,0,0.135804894,0.009054168,0.016166007,0.013224245,1
73,0.212723433,0.296731293,0.023191909,0.033294677,0,0.088570954,0.126742923,0,0.196828208,0.005263124,0.01665348,0,1
74,0.03185846,0.226079804,0.040795307,0.025689545,0.004013647,0.057984422,0.253327894,0,0.346413083,0.008008939,0,0.0058289,1
75,0.321012872,0.276882722,0.018122657,0.050567552,0,0.103305945,0.02989161,0,0.156178159,0.009840954,0.026878355,0.007319174,1
76,0.007705628,0.333337836,0.036557335,0.052910268,0,0.022809201,0.123717739,0,0.253623398,0.132188642,0.024725338,0.012424615,1
77,0.036230814,0.19566881,0.034308541,0.017346658,0.003349071,0.064096972,0.14028766,0,0.235648153,0.039262085,0.219795819,0.014005417,1
78,0.057056535,0.237436043,0.040015853,0.048468294,0.002376925,0.156256337,0.16419139,0.071531491,0.182640977,0.009251465,0.022201816,0.008572874,1
79,0.195176132,0.286230224,0.012720488,0.015941861,0.007800393,0.092097388,0.0986908,0,0.238886648,0.018903983,0.027660145,0.005891937,1
80,0.109263016,0.324411168,0.020986426,0.020655814,0,0.107339343,0.058420109,0,0.213617338,0.008788772,0.120073608,0.016444405,1
81,0.469090845,0.136220062,0.017907455,0.021877851,0.004128401,0.033689338,0.063970579,0,0.226023693,0.012363595,0.008354121,0.006374061,1
82,0.017971024,0.232484382,0.023237369,0.087179951,0,0.051232936,0.114082857,0,0.382692415,0.02581387,0.061742148,0.003563047,1
83,0.064994433,0.263018427,0.021146823,0.047129524,0.032610909,0.035029108,0.095735639,0,0.306290898,0.028982684,0.078138638,0.026922916,1
84,0.085939467,0.236263849,0.025983088,0.054629099,0,0.031996736,0.257412494,0,0.295851635,0.007453907,0.002601132,0.001868594,1
85,0.021005778,0.235408488,0.040973439,0.010568667,0.002445733,0.035752218,0.151254518,0.017020166,0.421190519,0.018521226,0.045859248,0,1
86,0.02115449,0.209721967,0.005760003,0.059421946,0.032369763,0.059418866,0.277065536,0,0.249263251,0.008155708,0.065712272,0.011956197,1
87,0.074670728,0.237549829,0.026866316,0.04320783,0,0.069481687,0.203185179,0,0.273865293,0.006374406,0.058466218,0.006332513,1
88,0.051061797,0.265407611,0.026623894,0.069057827,0.000397458,0.095252654,0.177847025,0,0.278854065,0.003633526,0.024812302,0.00705184,1
89,0.000472596,0.268877027,0.027680129,0.08081148,0.003418834,0.07982258,0.217089044,0,0.288037044,0.010605805,0.017620603,0.005564859,1
90,0.020641133,0.336833833,0.049928673,0.043882809,0.004296037,0.040231171,0.118414611,0,0.324307978,0.031186787,0.009853591,0.020423377,1
91,0.030356453,0.33621859,0.01598755,0.047919623,0.000243836,0.175141461,0.088853584,0,0.265155363,0.004945863,0.033751586,0.00142609,1
92,0.070188216,0.170840488,0.020135707,0.031832575,0.010860703,0.087616842,0.316366572,0,0.201828993,0.038868555,0.04001089,0.011450459,1
93,0.021657452,0.212333628,0.033516562,0.064399824,0.003782049,0.060400118,0.149381756,0,0.252651553,0.004263648,0.1899317,0.007681709,1
94,0.030777143,0.364452172,0.041061424,0.019874077,0.000404854,0.002208708,0.202868741,0,0.313442054,0.001427677,0.018650592,0.004832559,1
95,0.043371249,0.44523281,0.030228661,0.008412087,0,0.124648377,0.120147013,0,0.215984612,0.007876996,0.000284382,0.003813815,1
96,0.329392384,0.184824293,0.023037408,0.005822391,0.001091525,0.050701668,0.071028667,0,0.242234091,0.001849179,0.085669342,0.004349051,1
97,0.490678232,0.097002573,0.005734246,0.063917399,0.008288503,0.02349651,0.081009456,0,0.209257857,0.005986832,0.012796351,0.001832041,1
98,0.013351943,0.331246438,0.025734482,0.018548117,0.032143104,0.134312551,0.152211725,0,0.263931467,0.008132087,0.007263605,0.01312448,1
99,0.058750093,0.286171039,0.018725763,0.013113481,0.044047408,0.09178528,0.122501245,0,0.31065062,0.016344494,0.007828304,0.030082273,1
100,0.065766788,0.313122017,0.026873551,0.061775885,0,0.065717374,0.162394802,0,0.247801762,0.022068559,0.024769674,0.009709589,1
101,0.097171754,0.32834912,0.019647039,0.024974675,0,0.262467693,0.072270217,0,0.121965629,0.027429343,0.027598339,0.018126192,1
102,0.030106334,0.378099703,0.020433161,0.059713699,0.000762274,0.037899834,0.179409274,0,0.213797499,0.01320564,0.034374892,0.032197688,1
103,0.036357438,0.240126142,0.018270063,0.256181731,0,0.056097063,0.193070739,0,0.158279511,0.029525054,0.006323458,0.0057688,1
