oid_migrash,ms_gush,ms_migrash,k_yeud_rashi,t_yeud_rashi,Shape_Length,Shape_Area,Shape,ms_ezor,ms_ezor_shetach
1,6620,20,1001,מגורים,280.5686108071532,4435.541827047774,Polygon,1111,1156347.6728190577
2,6111,667,1001,מגורים,46.36581702741985,46.55561900698921,Polygon,1422,206397.02011569438
3,6107,425,1001,מגורים,153.61220663621472,1440.3783553499707,Polygon,412,331168.7841144157
4,6107,2140,1008,תחבורה,166.6220914698276,440.5042958236319,Polygon,421,263980.93883154157
5,6106,388,1008,תחבורה,78.31921733159855,59.81494254655708,Polygon,421,263980.93883154157
6,6107,424,1001,מגורים,138.51982090769894,1179.3727777828917,Polygon,412,331168.7841144157
7,6107,268,1008,תחבורה,58.47143093642316,169.39919042917975,Polygon,412,331168.7841144157
8,7422,68,1009,שטח לתכנון בעתיד,98.51255852716955,558.013152277384,Polygon,551,182424.6153926432
9,7422,65,1009,שטח לתכנון בעתיד,100.105429204332,573.4893712238303,Polygon,551,182424.6153926432
10,6130,164,1008,תחבורה,156.93545032583302,710.8517332937842,Polygon,935,241387.8055921972
11,6962,36,1002,מסחר,87.87786871192151,407.7541470063983,Polygon,312,170816.25208604324
12,7241,4,1001,מגורים,236.25345646307193,3058.866524367637,Polygon,1043,184390.6567002937
13,6107,408,1008,תחבורה,56.12300616408135,154.77289047540054,Polygon,412,331168.7841144157
14,6925,161,1009,שטח לתכנון בעתיד,34.1711981530854,69.87592296313186,Polygon,551,182424.6153926432
15,7420,95,1001,מגורים,38.53219121961774,75.50682102363973,Polygon,533,316438.25272633473
16,8983,17,1002,מסחר,55.880866789625394,193.72596021172916,Polygon,811,166043.0948264779
17,8983,13,1002,מסחר,84.98712678254303,377.5430655240669,Polygon,811,166043.0948264779
18,8982,20,1002,מסחר,50.13682989328951,156.60088475048946,Polygon,811,166043.0948264779
19,6213,820,1001,מגורים,114.1683867349566,748.4348399357671,Polygon,1411,126889.33110198317
20,6213,497,1001,מגורים,117.48273611914297,835.4348272336321,Polygon,1412,142084.02121651286
21,6213,503,1001,מגורים,111.54444044429601,760.4245549180159,Polygon,1412,142084.02121651286
23,6133,2034,1006,שטחים פתוחים,123.31964626411363,768.0984089181992,Polygon,932,400321.22705684905
24,6962,58,1002,מסחר,75.16814902615883,281.4936948488339,Polygon,312,170816.25208604324
25,6904,162,1001,מגורים,95.00722601868164,487.42480958590835,Polygon,515,108976.36735842742
26,7440,17,1001,מגורים,67.50966344618722,275.7325486650179,Polygon,517,130391.12952159574
27,6636,825,1001,מגורים,87.51780823928263,462.1955849442945,Polygon,223,553888.3842120315
28,6636,533,1001,מגורים,93.3111189268931,531.5117924092506,Polygon,223,553888.3842120315
29,6636,603,1008,תחבורה,140.54470061061767,304.1126824584259,Polygon,223,553888.3842120315
29,6636,603,1008,תחבורה,30.12282925185082,15.120413405901704,Polygon,224,420055.32445293915
30,6637,684,1001,מגורים,95.13253275634617,526.3667337023807,Polygon,1222,405574.26711428136
31,6637,379,1001,מגורים,94.45293737502645,516.6002875608916,Polygon,1222,405574.26711428136
32,6637,455,1001,מגורים,94.32831354204396,512.6025797463266,Polygon,1222,405574.26711428136
33,6637,577,1006,שטחים פתוחים,124.78874648731019,291.93582714877846,Polygon,1222,405574.26711428136
34,6637,347,1001,מגורים,120.56959878675478,814.0471692441766,Polygon,1222,405574.26711428136
35,6623,529,1001,מגורים,109.80891185397108,734.1954588569099,Polygon,1222,405574.26711428136
36,6623,528,1001,מגורים,106.79627804120126,687.4889421104524,Polygon,1222,405574.26711428136
