זיהוי ממג מגרש *,מספר גוש *,מספר מגרש *,קוד ייעוד ראשי,תיאור ייעוד ראשי,שטח רשום,שטח גרפי,Shape_Length,Shape_Area,צורה *
1,6620,20,1001,מגורים,4454,4435.54,280.568609,4435.541775,Polygon
2,6111,667,1001,מגורים,53,46.56,46.365817,46.555618,Polygon
3,6107,425,1001,מגורים,1455,1440.38,153.612206,1440.378339,Polygon
4,6107,2140,1008,תחבורה,436.69,440.5,166.62209,440.504291,Polygon
5,6106,388,1008,תחבורה,56,59.81,78.319217,59.814942,Polygon
6,6107,424,1001,מגורים,1163,1179.37,138.51982,1179.372764,Polygon
7,6107,268,1008,תחבורה,199,169.4,58.471431,169.399188,Polygon
8,7422,68,1009,שטח לתכנון בעתיד,559,558.01,98.512558,558.013146,Polygon
9,7422,65,1009,שטח לתכנון בעתיד,570,573.49,100.105429,573.489365,Polygon
10,6130,164,1008,תחבורה,722,710.85,156.935449,710.851725,Polygon
11,6962,36,1002,מסחר,406,407.75,87.877868,407.754142,Polygon
12,7241,4,1001,מגורים,3011,3058.87,236.253455,3058.866489,Polygon
13,6107,408,1008,תחבורה,172,154.77,56.123006,154.772889,Polygon
14,6925,161,1009,שטח לתכנון בעתיד,69.88,69.88,34.171198,69.875922,Polygon
15,7420,95,1001,מגורים,72,75.51,38.532191,75.50682,Polygon
16,8983,17,1002,מסחר,195,193.73,55.880866,193.725958,Polygon
17,8983,13,1002,מסחר,393,377.54,84.987126,377.543061,Polygon
18,8982,20,1002,מסחר,174,156.6,50.13683,156.600883,Polygon
19,6213,820,1001,מגורים,751,748.43,114.168386,748.434831,Polygon
20,6213,497,1001,מגורים,818,835.43,117.482735,835.434817,Polygon
21,6213,503,1001,מגורים,751,760.42,111.54444,760.424546,Polygon
22,6163,112,0,ללא סיווג,353,358.52,82.011884,358.521821,Polygon
23,6133,2034,1006,שטחים פתוחים,766.78,768.1,123.319646,768.0984,Polygon
24,6962,58,1002,מסחר,292,281.49,75.168149,281.493692,Polygon
25,6904,162,1001,מגורים,478,487.42,95.007225,487.424804,Polygon
26,7440,17,1001,מגורים,277,275.73,67.509663,275.732545,Polygon
27,6636,825,1001,מגורים,443,462.2,87.517808,462.19558,Polygon
28,6636,533,1001,מגורים,543,531.51,93.311118,531.511786,Polygon
29,6636,603,1008,תחבורה,315,319.23,143.775062,319.233092,Polygon
30,6637,684,1001,מגורים,537,526.37,95.132532,526.366728,Polygon
31,6637,379,1001,מגורים,510,516.6,94.452937,516.600281,Polygon
32,6637,455,1001,מגורים,508,512.6,94.328313,512.602574,Polygon
33,6637,577,1006,שטחים פתוחים,288,291.94,124.788746,291.935824,Polygon
34,6637,347,1001,מגורים,808,814.05,120.569598,814.04716,Polygon
35,6623,529,1001,מגורים,726,734.2,109.808911,734.19545,Polygon
36,6623,528,1001,מגורים,724,687.49,106.796277,687.488934,Polygon
37,6637,361,1001,מגורים,752,753.61,109.883659,753.605212,Polygon
38,6608,6,0,ללא סיווג,54610,54164.46,1260.764766,54164.45987,Polygon
39,6772,2012,1008,תחבורה,210.89,212.52,148.429446,212.521122,Polygon
40,6141,87,0,ללא סיווג,1082,1095.88,134.666051,1095.878622,Polygon
41,6629,2035,1008,תחבורה,211.65,209.13,130.992655,209.129425,Polygon
42,6107,2135,1001,מגורים,725.81,771.26,117.876722,771.259804,Polygon
43,6212,1316,1008,תחבורה,147,147.32,62.951614,147.322448,Polygon
44,6107,359,1008,תחבורה,100,102.11,40.351594,102.108975,Polygon
45,6107,272,1008,תחבורה,200,166.1,57.825827,166.104542,Polygon
46,6107,421,1001,מגורים,1144,1126.62,141.968655,1126.620485,Polygon
47,6962,28,1002,מסחר,281,282.14,76.419052,282.141864,Polygon
48,6962,31,1002,מסחר,284,273.51,69.44226,273.513743,Polygon
49,6106,79,1008,תחבורה,28,15.98,24.986172,15.981451,Polygon
50,7420,98,1001,מגורים,344,327.53,76.870127,327.525194,Polygon
51,8985,16,1002,מסחר,191,189.73,55.177585,189.728752,Polygon
52,7228,49,1009,שטח לתכנון בעתיד,259,263.19,66.830808,263.190595,Polygon
53,7499,10,1001,מגורים,156,159.14,52.671528,159.137244,Polygon
54,6957,133,1001,מגורים,561,546.07,92.787126,546.065676,Polygon
55,6213,1015,1001,מגורים,314,307.99,70.658922,307.99442,Polygon
56,6213,1262,1001,מגורים,823,813.11,115.434962,813.108006,Polygon
57,6214,136,1001,מגורים,420,417.69,85.834448,417.694482,Polygon
58,6163,141,0,ללא סיווג,497,496.99,89.997329,496.988941,Polygon
59,6133,599,1002,מסחר,392,396.31,81.963124,396.3086,Polygon
60,6962,60,1002,מסחר,284,276.44,73.483802,276.442269,Polygon
61,6962,18,1001,מגורים,279,268.32,74.310329,268.324956,Polygon
62,6904,156,1001,מגורים,462,462.3,95.757797,462.30487,Polygon
63,6932,4,1001,מגורים,235,232.36,61.453398,232.357218,Polygon
64,7440,7,1001,מגורים,288,289.83,67.035502,289.827532,Polygon
65,7063,59,1008,תחבורה,32,35.25,27.299942,35.248093,Polygon
66,6636,574,1001,מגורים,502,513.73,91.539111,513.731157,Polygon
67,6636,726,1001,מגורים,438,455.62,85.992901,455.618918,Polygon
68,6637,454,1001,מגורים,508,508.04,94.001333,508.038864,Polygon
69,6637,746,1008,תחבורה,99,97.68,57.67544,97.68384,Polygon
70,6637,378,1001,מגורים,510,515,94.399803,515.000733,Polygon
71,6637,456,1001,מגורים,507,527.95,95.405823,527.951531,Polygon
72,6637,349,1001,מגורים,790,780.26,111.917338,780.259797,Polygon
73,6623,2013,1001,מגורים,1236,1230.25,155.092575,1230.245865,Polygon
74,6637,399,1001,מגורים,716,760.29,113.026215,760.290737,Polygon
